,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type_x,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,season_type_y,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
20,00-0024242,,DeAngelo Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oky9ooitgqa1fgwdll6b",PIT,2016,17,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,23,67.0,1,0.0,0.0,5.0,-1.8137437513505574,0,3,4,27.0,1,0.0,0.0,-8.0,34.0,2.0,2.853797482268419,0,-3.375,0.10810810810810811,-0.019851116625310174,0.14826638052444505,0.0,21.4,24.4,REG,RB,PIT,5.517910447761194,17.391304347826086,3.0472499999999996,23,67,,,2.9130434782608696,,,1,00-0024242,DeAngelo,Williams,34,D.Williams
21,00-0024242,,DeAngelo Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oky9ooitgqa1fgwdll6b",PIT,2016,20,POST,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,34.0,1,0.0,0.0,3.0,-3.429704703623429,0,7,7,51.0,0,0.0,0.0,16.0,35.0,4.0,4.747255069436505,1,3.1875,0.14893617021276595,0.035955056179775284,0.24857279464499163,0.0,16.5,23.5,POST,RB,PIT,5.413235294117646,14.285714285714285,2.7115454545454547,14,34,,,2.4285714285714284,,,1,00-0024242,DeAngelo,Williams,34,D.Williams
22,00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",MIN,2016,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,19,31.0,0,0.0,0.0,2.0,-6.651482037035748,0,0,2,0.0,0,0.0,0.0,-2.0,0.0,0.0,-0.8386135392356664,0,-0.0,0.06060606060606061,-0.0058309037900874635,0.0868274582560297,0.0,3.1,3.1,REG,RB,MIN,8.301935483870968,42.10526315789473,2.325428571428571,19,31,,,1.631578947368421,,,0,00-0025394,Adrian,Peterson,28,A.Peterson
23,00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",MIN,2016,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,12,19.0,0,0.0,0.0,1.0,-4.507480067200959,0,2,3,7.0,0,0.0,0.0,4.0,10.0,0.0,-0.8025665821041912,0,1.75,0.0967741935483871,0.01509433962264151,0.15572732805842968,0.0,2.6,4.6,REG,RB,MIN,8.341578947368422,41.66666666666667,2.594,12,19,,,1.5833333333333333,,,0,00-0025394,Adrian,Peterson,28,A.Peterson
24,00-0026019,D.Woodhead,Danny Woodhead,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gorlqe0etvc8ek5wob7j",LAC,2016,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,89.0,0,0.0,0.0,4.0,2.146712822956033,0,5,7,31.0,1,0.0,0.0,10.0,31.0,2.0,0.46473221431944856,0,3.1,0.19444444444444445,0.045871559633027525,0.3237767584097859,0.0,18.0,23.0,REG,RB,LAC,2.6231460674157305,0.0,2.441625,16,89,,,5.5625,,,0,00-0026019,Danny,Woodhead,39,D.Woodhead
25,00-0026144,D.McFadden,Darren McFadden,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfvionxxsfckmjqtw4kv",DAL,2016,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,49.0,0,0.0,0.0,2.0,-0.812722678470891,0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-1.0240445169620216,0,0.0,0.047619047619047616,0.019801980198019802,0.08528995756718528,0.0,4.9,4.9,REG,RB,DAL,0.7434693877551022,64.28571428571429,3.1185,14,49,,,3.5,,,0,00-0026144,Darren,McFadden,20,D.McFadden
26,00-0026153,J.Stewart,Jonathan Stewart,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dzvxfj3xrgnzc3jbag2n",CAR,2016,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,64.0,0,0.0,0.0,3.0,1.4315938944346271,0,0,1,0.0,0,0.0,0.0,6.0,0.0,0.0,-0.47727434430271387,0,0.0,0.03225806451612903,0.024096385542168676,0.06525456665371163,0.0,6.4,6.4,REG,RB,CAR,3.6948437500000004,60.0,2.5948000000000007,15,64,,,4.266666666666667,,,0,00-0026153,Jonathan,Stewart,28,J.Stewart
27,00-0026153,J.Stewart,Jonathan Stewart,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dzvxfj3xrgnzc3jbag2n",CAR,2016,6,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,19,85.0,2,0.0,0.0,7.0,0.5725106915342622,0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-0.6181656165281311,0,0.0,0.021739130434782608,0.007722007722007722,0.03801410105757932,0.0,20.5,20.5,REG,RB,CAR,3.6859999999999995,52.63157894736842,2.7296842105263153,19,85,,,4.473684210526316,,,2,00-0026153,Jonathan,Stewart,28,J.Stewart
28,00-0026153,J.Stewart,Jonathan Stewart,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dzvxfj3xrgnzc3jbag2n",CAR,2016,8,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,25,95.0,2,1.0,1.0,8.0,-3.070649179571774,0,1,2,25.0,0,0.0,0.0,11.0,25.0,1.0,1.5844553023634944,0,2.272727272727273,0.07407407407407407,0.037162162162162164,0.13712462462462463,0.0,22.0,23.0,REG,RB,CAR,3.998526315789473,36.0,2.5984,25,95,,,3.8,,,2,00-0026153,Jonathan,Stewart,28,J.Stewart
29,00-0026153,J.Stewart,Jonathan Stewart,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dzvxfj3xrgnzc3jbag2n",CAR,2016,9,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,42.0,0,0.0,0.0,1.0,-3.1606427542865276,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.2,4.2,REG,RB,CAR,6.130238095238094,13.333333333333334,3.1352500000000005,15,42,,,2.8,,,0,00-0026153,Jonathan,Stewart,28,J.Stewart
