,season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
54,2016,REG,1,Melvin Gordon,RB,LAC,3.7077192982456135,50.0,2.2432307692307694,14,57,,,4.071428571428571,,,2,00-0032144,Melvin,Gordon,28,M.Gordon
55,2016,REG,1,Doug Martin,RB,TB,4.393709677419355,16.666666666666664,2.7473749999999995,18,62,,,3.4444444444444446,,,0,00-0029613,Doug,Martin,22,D.Martin
56,2016,REG,1,Mark Ingram,RB,NO,3.3375862068965523,0.0,2.0284545454545455,12,58,,,4.833333333333333,,,0,00-0027966,Mark,Ingram,22,M.Ingram
57,2016,REG,1,Isaiah Crowell,RB,CLE,2.9188524590163936,27.27272727272727,2.4198,11,61,,,5.545454545454546,,,1,00-0030656,Isaiah,Crowell,34,I.Crowell
58,2016,REG,1,Arian Foster,RB,MIA,6.097631578947369,15.384615384615385,2.592538461538461,13,38,,,2.923076923076923,,,0,00-0026796,Arian,Foster,29,A.Foster
59,2016,REG,1,Rashad Jennings,RB,NYG,3.692133333333333,11.11111111111111,2.5682666666666663,18,75,,,4.166666666666667,,,0,00-0027155,Rashad,Jennings,23,R.Jennings
60,2016,REG,1,Frank Gore,RB,IND,3.3574576271186443,0.0,2.0734615384615385,14,59,,,4.214285714285714,,,0,00-0023500,Frank,Gore,23,F.Gore
61,2016,REG,1,Jeremy Langford,RB,CHI,4.972982456140351,29.411764705882355,2.4907692307692306,17,57,,,3.3529411764705883,,,1,00-0031569,Jeremy,Langford,33,J.Langford
62,2016,REG,1,C.J. Anderson,RB,DEN,3.6868478260869573,15.0,2.5504210526315787,20,92,,,4.6,,,1,00-0029854,Cortrelle,Anderson,22,C.Anderson
63,2016,REG,1,Ryan Mathews,RB,PHI,4.936103896103895,13.636363636363635,2.5696363636363633,22,77,,,3.5,,,1,00-0027864,Ryan,Mathews,24,R.Mathews
64,2016,REG,1,Ameer Abdullah,RB,DET,4.163333333333334,0.0,2.852181818181818,12,63,,,5.25,,,0,00-0032104,Ameer,Abdullah,21,A.Abdullah
65,2016,REG,1,T.J. Yeldon,RB,JAX,7.384358974358975,4.761904761904762,2.107214285714286,21,39,,,1.8571428571428572,,,1,00-0032209,Timothy,Yeldon,24,T.Yeldon
66,2016,REG,1,Todd Gurley,RB,LAR,6.484255319148936,29.411764705882355,3.1891249999999998,17,47,,,2.764705882352941,,,0,00-0032241,Todd,Gurley,30,T.Gurley
67,2016,REG,1,Matt Forte,RB,NYJ,3.600625000000001,4.545454545454546,2.5502631578947366,22,96,,,4.363636363636363,,,0,00-0026184,Matthew,Forte,22,M.Forte
68,2016,REG,1,LeGarrette Blount,RB,NE,4.776999999999999,22.727272727272727,2.725368421052632,22,70,,,3.1818181818181817,,,1,00-0027325,LeGarrette,Blount,29,L.Blount
69,2016,REG,1,Christine Michael,RB,SEA,3.8610606060606063,6.666666666666667,2.1525000000000003,15,66,,,4.4,,,0,00-0030432,Christine,Michael,32,C.Michael
70,2016,REG,1,Carlos Hyde,RB,SF,4.295909090909091,8.695652173913043,2.5851,23,88,,,3.8260869565217392,,,2,00-0031045,Carlos,Hyde,28,C.Hyde
71,2016,REG,1,Thomas Rawls,RB,SEA,5.4821875,16.666666666666664,2.387636363636364,12,32,,,2.6666666666666665,,,0,00-0031897,Thomas,Rawls,34,T.Rawls
72,2016,REG,1,Latavius Murray,RB,LV,3.5084745762711864,14.285714285714285,2.0698333333333334,14,59,,,4.214285714285714,,,1,00-0030513,Latavius,Murray,28,L.Murray
73,2016,REG,1,Eddie Lacy,RB,GB,3.939508196721312,0.0,2.2059090909090915,14,61,,,4.357142857142857,,,0,00-0030485,Eddie,Lacy,27,E.Lacy
74,2016,REG,1,Danny Woodhead,RB,LAC,2.6231460674157305,0.0,2.441625,16,89,,,5.5625,,,0,00-0026019,Danny,Woodhead,39,D.Woodhead
75,2016,REG,1,David Johnson,RB,ARI,3.1079775280898883,43.75,2.5288666666666666,16,89,,,5.5625,,,1,00-0032187,David,Johnson,31,D.Johnson
76,2016,REG,1,Spencer Ware,FB,KC,3.5152857142857137,0.0,3.0491818181818187,11,70,,,6.363636363636363,,,1,00-0030414,Spencer,Ware,32,S.Ware
77,2016,REG,1,Ezekiel Elliott,RB,DAL,5.6121568627450955,10.0,2.7602777777777776,20,51,,,2.55,,,1,00-0033045,Ezekiel,Elliott,21,E.Elliott
78,2016,REG,1,Devonta Freeman,RB,ATL,9.6745,27.27272727272727,2.510125,11,20,,,1.8181818181818181,,,0,00-0031285,Devonta,Freeman,24,D.Freeman
79,2016,REG,1,Terrance West,RB,BAL,5.881875000000001,33.33333333333333,2.9830909090909086,12,32,,,2.6666666666666665,,,0,00-0031375,Terrance,West,28,T.West
80,2016,REG,1,Lamar Miller,RB,HOU,4.1836792452830185,17.857142857142858,2.293851851851852,28,106,,,3.7857142857142856,,,0,00-0029615,Lamar,Miller,26,L.Miller
81,2016,REG,1,DeMarco Murray,RB,TEN,5.156428571428571,30.76923076923077,2.596,13,42,,,3.230769230769231,,,0,00-0028009,DeMarco,Murray,29,D.Murray
82,2016,REG,1,DeAngelo Williams,RB,PIT,3.31090909090909,34.61538461538461,2.8448846153846157,26,143,,,5.5,,,2,00-0024242,DeAngelo,Williams,34,D.Williams
83,2016,REG,1,Justin Forsett,RB,BAL,4.389268292682927,10.0,2.9556666666666667,10,41,,,4.1,,,0,00-0026373,Justin,Forsett,29,J.Forsett
84,2016,REG,1,Adrian Peterson,RB,MIN,8.301935483870968,42.10526315789473,2.325428571428571,19,31,,,1.631578947368421,,,0,00-0025394,Adrian,Peterson,28,A.Peterson
85,2016,REG,1,Jonathan Stewart,RB,CAR,3.6948437500000004,60.0,2.5948000000000007,15,64,,,4.266666666666667,,,0,00-0026153,Jonathan,Stewart,28,J.Stewart
86,2016,REG,2,Todd Gurley,RB,LAR,5.5858823529411765,63.1578947368421,2.4880666666666666,19,51,,,2.6842105263157894,,,0,00-0032241,Todd,Gurley,30,T.Gurley
87,2016,REG,2,Spencer Ware,RB,KC,4.155087719298245,20.0,2.5819,10,57,,,5.7,,,0,00-0030414,Spencer,Ware,32,S.Ware
88,2016,REG,2,Melvin Gordon,RB,LAC,3.942352941176471,12.5,2.44815,24,102,,,4.25,,,1,00-0032144,Melvin,Gordon,28,M.Gordon
89,2016,REG,2,C.J. Anderson,RB,DEN,4.410135135135134,35.0,2.386375,20,74,,,3.7,,,1,00-0029854,C.J.,Anderson,22,C.Anderson
90,2016,REG,2,Isaiah Crowell,RB,CLE,2.763984962406015,38.88888888888889,2.9261428571428576,18,133,,,7.388888888888889,,,1,00-0030656,Isaiah,Crowell,34,I.Crowell
91,2016,REG,2,Frank Gore,RB,IND,3.809090909090909,69.23076923076923,2.2419230769230767,13,44,,,3.3846153846153846,,,0,00-0023500,Frank,Gore,23,F.Gore
92,2016,REG,2,Eddie Lacy,RB,GB,4.3594,8.333333333333332,2.769909090909091,12,50,,,4.166666666666667,,,0,00-0030485,Eddie,Lacy,27,E.Lacy
93,2016,REG,2,DeAngelo Williams,RB,PIT,6.0638297872340425,21.875,3.2294482758620684,32,94,5.482005567551539,-2.482005567551539,2.9375,-1.2410027837757696,0.5,0,00-0024242,DeAngelo,Williams,34,D.Williams
94,2016,REG,2,Christine Michael,RB,SEA,3.3131666666666666,20.0,2.157625,10,60,,,6.0,,,0,00-0030432,Christine,Michael,32,C.Michael
95,2016,REG,2,Justin Forsett,RB,BAL,6.354324324324325,14.285714285714285,3.002583333333334,14,37,,,2.642857142857143,,,0,00-0026373,Justin,Forsett,29,J.Forsett
96,2016,REG,2,DeMarco Murray,RB,TEN,2.7488764044943834,41.66666666666667,2.553444444444444,12,89,,,7.416666666666667,,,0,00-0028009,DeMarco,Murray,29,D.Murray
97,2016,REG,2,Jeremy Langford,RB,CHI,5.723214285714286,18.181818181818183,2.459777777777778,11,28,,,2.5454545454545454,,,1,00-0031569,Jeremy,Langford,33,J.Langford
98,2016,REG,2,Fozzy Whittaker,RB,CAR,3.2209000000000003,25.0,2.9835333333333334,16,100,,,6.25,,,0,00-0029731,Fozzy,Whittaker,43,F.Whittaker
99,2016,REG,2,Ezekiel Elliott,RB,DAL,4.206867469879518,23.809523809523807,2.471666666666667,21,83,,,3.9523809523809526,,,1,00-0033045,Ezekiel,Elliott,21,E.Elliott
100,2016,REG,2,Adrian Peterson,RB,MIN,8.341578947368422,41.66666666666667,2.594,12,19,,,1.5833333333333333,,,0,00-0025394,Adrian,Peterson,28,A.Peterson
101,2016,REG,2,Devonta Freeman,RB,ATL,3.2877419354838713,76.47058823529412,2.9061875,17,93,,,5.470588235294118,,,0,00-0031285,Devonta,Freeman,24,D.Freeman
102,2016,REG,2,Matt Forte,RB,NYJ,4.5828999999999995,3.3333333333333335,2.7609999999999997,30,100,,,3.3333333333333335,,,3,00-0026184,Matt,Forte,22,M.Forte
103,2016,REG,2,Rashad Jennings,RB,NYG,5.81923076923077,16.666666666666664,2.4756,12,26,,,2.1666666666666665,,,0,00-0027155,Rashad,Jennings,23,R.Jennings
104,2016,REG,2,Darren Sproles,RB,PHI,5.4185,0.0,2.941909090909091,12,40,,,3.3333333333333335,,,0,00-0023564,Darren,Sproles,43,D.Sproles
105,2016,REG,2,Theo Riddick,RB,DET,4.191081081081081,18.181818181818183,2.7235555555555555,11,37,,,3.3636363636363638,,,0,00-0030107,Theo,Riddick,25,T.Riddick
106,2016,REG,2,LeGarrette Blount,RB,NE,3.716178861788618,44.827586206896555,2.7124230769230775,29,123,,,4.241379310344827,,,1,00-0027325,LeGarrette,Blount,29,L.Blount
107,2016,REG,2,Lamar Miller,RB,HOU,4.178181818181819,16.666666666666664,2.5463478260869565,24,77,,,3.2083333333333335,,,0,00-0029615,Lamar,Miller,26,L.Miller
108,2016,REG,2,LeSean McCoy,RB,BUF,4.48271186440678,6.666666666666667,2.767583333333333,15,59,,,3.933333333333333,,,0,00-0027029,LeSean,McCoy,25,L.McCoy
109,2016,REG,2,Terrance West,RB,BAL,4.689047619047618,9.090909090909092,2.8688181818181815,11,42,,,3.8181818181818183,,,0,00-0031375,Terrance,West,28,T.West
110,2016,REG,2,Carlos Hyde,RB,SF,7.5397058823529415,0.0,3.0905,14,34,,,2.4285714285714284,,,0,00-0031045,Carlos,Hyde,28,C.Hyde
111,2016,REG,2,David Johnson,RB,ARI,5.030444444444446,8.333333333333332,3.1624166666666667,12,45,,,3.75,,,0,00-0032187,David,Johnson,31,D.Johnson
112,2016,REG,2,Jeremy Hill,RB,CIN,6.513636363636363,18.181818181818183,2.7018000000000004,11,22,,,2.0,,,0,00-0031301,Jeremy,Hill,32,J.Hill
113,2016,REG,2,Chris Johnson,RB,ARI,4.591296296296297,50.0,2.3948571428571426,16,54,,,3.375,,,1,00-0026164,Chris,Johnson,23,C.Johnson
114,2016,REG,2,Shane Vereen,RB,NYG,3.667142857142858,0.0,2.7044444444444444,14,42,,,3.0,,,0,00-0027994,Shane,Vereen,34,S.Vereen
115,2016,REG,2,Tevin Coleman,RB,ATL,4.069347826086957,50.0,2.944727272727273,12,46,,,3.8333333333333335,,,1,00-0032058,Tevin,Coleman,26,T.Coleman
116,2016,REG,2,Matt Jones,RB,WAS,3.873442622950819,0.0,2.7373846153846153,13,61,,,4.6923076923076925,,,1,00-0031939,Matt,Jones,31,M.Jones
117,2016,REG,3,Ezekiel Elliott,RB,DAL,4.163142857142857,50.0,2.7264642857142856,30,140,,,4.666666666666667,,,0,00-0033045,Ezekiel,Elliott,21,E.Elliott
118,2016,REG,3,Matt Forte,RB,NYJ,3.974153846153846,0.0,2.2958571428571433,15,65,,,4.333333333333333,,,0,00-0026184,Matt,Forte,22,M.Forte
119,2016,REG,3,Isaiah Crowell,RB,CLE,3.074177215189873,46.666666666666664,2.6701428571428574,15,79,,,5.266666666666667,,,0,00-0030656,Isaiah,Crowell,34,I.Crowell
