"Player","DK Pos","Team","Opp","DK Salary","DK Proj","DK Value","Small Field","Large Field","DK Floor","DK Ceiling","id"
"Josh Williams","RB","TB","@BUF","$4,000","0.1","-10.8","0.0%","0.0%","0.0","0.5","40742580"
"Owen Wright","RB","TB","@BUF","$4,000","0.3","-10.6","0.0%","0.0%","0.0","1.5","40742582"
"Julius Chestnut","RB","TEN","HOU","$4,000","0.1","-10.8","0.0%","0.0%","0.0","0.5","40742506"
"Marvin Mims Jr.","WR","DEN","KC","$3,900","5.9","-4.9","0.2%","0.3%","1.0","12.5","40742710"
"Dalton Schultz","TE","HOU","@TEN","$3,900","9.4","-1.4","3.1%","3.7%","2.9","17.3","40743046"
"Elic Ayomanor","WR","TEN","HOU","$3,900","8.0","-2.7","1.5%","1.3%","1.7","16.5","40742714"
"Michael Wilson","WR","ARI","SF","$3,800","11.0","0.5","28.1%","24.2%","3.1","21.7","40742716"
"Harold Fannin Jr.","TE","CLE","BAL","$3,800","9.8","-0.8","1.3%","2.7%","3.4","17.4","40743048"
"Christian Kirk","WR","HOU","@TEN","$3,800","4.4","-6.1","0.1%","0.1%","0.3","10.4","40742718"
"Ravens ","DST","BAL","@CLE","$3,800","9.3","0.8","4.0%","5.7%","3.0","17.0","40743276"
"Darnell Mooney","WR","ATL","CAR","$3,700","9.2","-1.1","5.8%","5.9%","2.0","19.1","40742720"
"Luther Burden III","WR","CHI","@MIN","$3,700","4.5","-5.8","0.0%","0.1%","0.3","11.0","40742722"
"Luke Musgrave","TE","GB","@NYG","$3,700","7.3","-3.1","0.2%","0.7%","1.8","14.2","40743050"
"Texans ","DST","HOU","@TEN","$3,700","10.3","1.9","13.2%","11.0%","3.7","18.1","40743277"
"Xavier Legette","WR","CAR","@ATL","$3,600","5.8","-4.3","0.5%","0.2%","0.8","13.1","40742726"
"Colston Loveland","TE","CHI","@MIN","$3,600","7.4","-2.8","1.9%","2.1%","1.4","15.2","40743052"
"Andrei Iosivas","WR","CIN","@PIT","$3,600","6.5","-3.7","0.2%","0.4%","1.0","14.0","40742724"
"Dyami Brown","WR","JAX","LAC","$3,600","3.8","-6.3","0.0%","0.1%","0.0","9.5","40742728"
