"Player","DK Pos","Team","Opp","DK Salary","DK Proj","DK Value","Small Field","Large Field","DK Floor","DK Ceiling","id"
"Cody White","WR","SEA","@LA","$3,000","0.1","-8.8","0.0%","0.0%","0.0","0.6","40742970"
"Ryan Miller","WR","TB","@BUF","$3,000","0.3","-8.7","0.0%","0.0%","0.0","1.1","40742980"
"Mason Kinsey","WR","TEN","HOU","$3,000","0.1","-8.8","0.0%","0.0%","0.0","0.5","40742856"
"Vikings ","DST","MIN","CHI","$3,000","5.9","-1.1","1.3%","2.5%","0.2","12.8","40743284"
"Jonnu Smith","TE","PIT","CIN","$2,900","8.3","-0.5","6.3%","5.5%","2.0","16.5","40743080"
"Rams ","DST","LA","SEA","$2,900","5.8","-1.0","0.4%","1.7%","0.3","12.7","40743285"
"Jackson Hawes","TE","BUF","TB","$2,800","3.9","-4.6","0.1%","0.2%","0.0","9.9","40743082"
"Bears ","DST","CHI","@MIN","$2,800","6.6","0.0","4.2%","4.2%","0.4","13.9","40743288"
"Chargers ","DST","LAC","@JAX","$2,800","7.3","0.7","8.2%","8.1%","1.4","14.6","40743286"
"Ja'Tavion Sanders","TE","CAR","@ATL","$2,700","4.7","-3.6","0.1%","0.2%","0.6","10.4","40743088"
"Tyler Higbee","TE","LA","SEA","$2,700","6.9","-1.4","2.9%","2.8%","1.4","14.2","40743086"
"Darnell Washington","TE","PIT","CIN","$2,700","5.7","-2.7","1.0%","0.9%","0.8","12.5","40743090"
"Panthers ","DST","CAR","@ATL","$2,700","5.4","-1.0","2.6%","1.9%","0.0","12.0","40743289"
"Jaguars ","DST","JAX","LAC","$2,700","6.3","0.0","4.3%","4.6%","0.6","13.4","40743287"
"Cole Kmet","TE","CHI","@MIN","$2,600","3.2","-5.0","0.1%","0.2%","0.0","8.3","40743094"
"Elijah Arroyo","TE","SEA","@LA","$2,600","4.5","-3.6","0.2%","0.6%","0.5","10.2","40743096"
"Gunnar Helm","TE","TEN","HOU","$2,600","4.6","-3.6","0.1%","0.3%","0.5","10.1","40743092"
"Broncos ","DST","DEN","KC","$2,600","5.7","-0.5","6.9%","6.7%","0.0","12.7","40743290"
"Seahawks ","DST","SEA","@LA","$2,600","4.7","-1.5","0.7%","1.5%","-0.8","11.3","40743291"
"Josiah Deguara","TE","ARI","SF","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743214"
"Elijah Higgins","TE","ARI","SF","$2,500","5.0","-3.0","0.9%","1.0%","0.7","11.1","40743212"
"Pharaoh Brown","TE","ARI","SF","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743220"
"Charlie Woerner","TE","ATL","CAR","$2,500","0.7","-7.3","0.0%","0.0%","0.0","2.7","40743100"
"Feleipe Franks","TE","ATL","CAR","$2,500","0.1","-7.9","0.0%","0.0%","0.0","0.0","40743104"
"Teagan Quitoriano","TE","ATL","CAR","$2,500","0.3","-7.7","0.0%","0.0%","0.0","1.3","40743102"
"Charlie Kolar","TE","BAL","@CLE","$2,500","2.4","-5.6","0.0%","0.0%","0.0","6.8","40743272"
"Keleki Latu","TE","BUF","TB","$2,500","0.3","-7.7","0.0%","0.0%","0.0","1.0","40743108"
"Tommy Tremble","TE","CAR","@ATL","$2,500","3.6","-4.4","0.0%","0.0%","0.1","8.6","40743256"
"Mitchell Evans","TE","CAR","@ATL","$2,500","1.3","-6.7","0.0%","0.0%","0.0","4.1","40743258"
"Durham Smythe","TE","CHI","@MIN","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743120"
"Tanner Hudson","TE","CIN","@PIT","$2,500","3.4","-4.5","0.1%","0.1%","0.1","8.2","40743128"
"Drew Sample","TE","CIN","@PIT","$2,500","1.4","-6.6","0.0%","0.0%","0.0","4.3","40743126"
"Blake Whiteheart","TE","CLE","BAL","$2,500","0.2","-7.7","0.0%","0.0%","0.0","1.0","40743138"
"Marcedes Lewis","TE","DEN","KC","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743152"
"Adam Trautman","TE","DEN","KC","$2,500","2.1","-5.9","0.1%","0.0%","0.0","6.1","40743148"
"Josh Whyle","TE","GB","@NYG","$2,500","0.6","-7.3","0.0%","0.0%","0.0","2.6","40743160"
"John FitzPatrick","TE","GB","@NYG","$2,500","0.6","-7.3","0.0%","0.0%","0.0","2.6","40743098"
"Jakob Johnson","TE","HOU","@TEN","$2,500","0.2","-7.8","0.0%","0.0%","0.0","1.0","40743116"
"Cade Stover","TE","HOU","@TEN","$2,500","3.0","-5.0","0.0%","0.0%","0.0","7.5","40743112"
"Johnny Mundt","TE","JAX","LAC","$2,500","4.2","-3.8","0.1%","0.1%","0.4","9.5","40743264"
"Quintin Morris","TE","JAX","LAC","$2,500","2.7","-5.3","0.0%","0.1%","0.0","7.0","40743266"
"Robert Tonyan","TE","KC","@DEN","$2,500","0.2","-7.8","0.0%","0.0%","0.0","0.6","40743174"
"Noah Gray","TE","KC","@DEN","$2,500","3.3","-4.7","0.1%","0.3%","0.0","8.2","40743172"
"Tucker Fisk","TE","LAC","@JAX","$2,500","0.6","-7.3","0.0%","0.0%","0.0","2.6","40743230"
"Terrance Ferguson","TE","LA","SEA","$2,500","5.3","-2.7","0.2%","0.8%","0.5","12.1","40743184"
"Colby Parkinson","TE","LA","SEA","$2,500","4.2","-3.8","0.1%","0.1%","0.2","10.1","40743188"
"Davis Allen","TE","LA","SEA","$2,500","4.2","-3.8","0.0%","0.1%","0.2","9.9","40743186"
"Ben Yurosek","TE","MIN","CHI","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743194"
"Josh Oliver","TE","MIN","CHI","$2,500","1.7","-6.3","0.1%","0.0%","0.0","5.5","40743192"
"Chris Manhertz","TE","NYG","GB","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743210"
"Daniel Bellinger","TE","NYG","GB","$2,500","4.7","-3.2","0.1%","0.4%","0.5","10.4","40743206"
"Connor Heyward","TE","PIT","CIN","$2,500","0.7","-7.3","0.0%","0.0%","0.0","2.7","40743224"
"Luke Farrell","TE","SF","@ARI","$2,500","1.8","-6.1","0.0%","0.0%","0.0","5.6","40743234"
"Jake Tonges","TE","SF","@ARI","$2,500","0.3","-7.7","0.0%","0.0%","0.0","1.3","40743236"
"Nick Kallerup","TE","SEA","@LA","$2,500","0.3","-7.7","0.0%","0.0%","0.0","1.1","40743240"
"Payne Durham","TE","TB","@BUF","$2,500","0.5","-7.4","0.0%","0.0%","0.0","2.2","40743246"
"Devin Culp","TE","TB","@BUF","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743248"
"David Martin-Robinson","TE","TEN","HOU","$2,500","0.1","-7.8","0.0%","0.0%","0.0","0.6","40743168"
"Cardinals ","DST","ARI","SF","$2,500","4.7","-1.3","3.0%","3.6%","-0.7","11.3","40743292"
"Buccaneers ","DST","TB","@BUF","$2,500","4.7","-1.3","0.6%","0.8%","-0.8","11.2","40743293"
"Bengals ","DST","CIN","@PIT","$2,400","4.4","-1.4","2.3%","2.0%","-1.0","11.0","40743294"
"Browns ","DST","CLE","BAL","$2,400","5.5","-0.3","6.7%","5.1%","0.1","12.1","40743295"
"Giants ","DST","NYG","GB","$2,300","4.3","-1.3","3.0%","2.1%","-0.8","10.6","40743296"
"Titans ","DST","TEN","HOU","$2,300","6.7","1.2","19.2%","14.8%","1.0","13.9","40743297"
