"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Gunnar Helm","TE","TEN","SEA","6.3","4.9","7.7","3.5","4.9","6.3","12.6","10.2","Main"
"KhaDarel Hodge","WR","ATL","@NO","6.2","5.0","6.1","3.9","5.0","6.1","13.7","11.7","Main"
"Colby Parkinson","TE","LA","TB","6.2","5.0","7.4","3.8","5.0","6.2","13.3","11.3","Sunday"
"John Metchie","WR","NYJ","@BAL","6.1","4.8","6.1","3.5","4.8","6.1","12.8","10.7","Main"
"Roman Wilson","WR","PIT","@CHI","6.1","5.0","6.0","3.8","4.9","6.0","13.7","11.8","Main"
"CHI DST","DST","CHI","PIT","6.1","6.1","6.9","6.1","6.1","6.1","13.1","13.1","Main"
"Isaiah Davis","RB","NYJ","@BAL","6.0","4.8","6.0","3.7","4.8","5.9","12.5","10.6","Main"
"Tyrell Shavers","WR","BUF","@HOU","5.9","4.9","5.8","3.8","4.8","5.8","13.4","11.6","Thursday"
"Taysom Hill","TE","NO","ATL","5.9","5.5","6.1","5.1","5.4","5.7","13.4","12.9","Main"
"PHI DST","DST","PHI","@DAL","5.8","5.8","6.6","5.8","5.8","5.8","12.8","12.8","Main"
"Chris Brooks","RB","GB","MIN","5.7","5.0","5.6","4.4","5.0","5.6","12.5","11.6","Main"
"Gabe Davis","WR","BUF","@HOU","5.5","4.6","5.5","3.6","4.5","5.5","13.2","11.5","Thursday"
"Cedric Tillman","WR","CLE","@LV","5.5","4.4","5.4","3.3","4.4","5.4","12.1","10.3","Main"
"PIT DST","DST","PIT","@CHI","5.5","5.5","6.3","5.5","5.5","5.5","12.4","12.4","Main"
"Justice Hill","RB","BAL","NYJ","5.4","4.4","5.4","3.4","4.4","5.4","12.8","11.1","Main"
"Elijah Moore","WR","BUF","@HOU","5.4","4.5","5.4","3.5","4.4","5.3","12.5","10.9","Thursday"
"Devin Neal","RB","NO","ATL","5.4","4.6","5.4","3.7","4.5","5.4","12.1","10.6","Main"
"Pat Freiermuth","TE","PIT","@CHI","5.4","4.3","6.5","3.3","4.3","5.4","11.9","10.0","Main"
"Ja'Tavion Sanders","TE","CAR","@SF","5.3","4.1","6.5","2.9","4.1","5.3","11.2","9.1","Monday"
"Dontayvion Wicks","WR","GB","MIN","5.3","4.3","5.3","3.3","4.3","5.3","12.4","10.6","Main"
"Brashard Smith","RB","KC","IND","5.3","4.3","5.3","3.3","4.3","5.3","12.1","10.4","Main"
"Terrance Ferguson","TE","LA","TB","5.3","4.4","6.1","3.5","4.4","5.3","12.3","10.8","Sunday"
"Luke Musgrave","TE","GB","MIN","5.2","4.0","6.4","2.8","4.0","5.2","10.8","8.7","Main"
"Tyler Lockett","WR","LV","CLE","5.2","4.2","5.2","3.1","4.2","5.2","11.9","10.1","Main"
"Sterling Shepard","WR","TB","@LA","5.2","4.2","5.1","3.1","4.1","5.1","11.7","10.0","Sunday"
"ARI DST","DST","ARI","JAX","5.2","5.2","6.0","5.2","5.2","5.2","12.0","12.0","Main"
"Isaiah Hodgins","WR","NYG","@DET","5.1","4.1","5.0","3.1","4.1","5.0","11.9","10.1","Main"
"DAL DST","DST","DAL","PHI","5.1","5.1","5.9","5.1","5.1","5.1","11.6","11.6","Main"
"MIN DST","DST","MIN","@GB","5.1","5.1","5.8","5.1","5.1","5.1","11.7","11.7","Main"
"CIN DST","DST","CIN","NE","5.0","5.0","5.7","5.0","5.0","5.0","11.7","11.7","Main"
"David Sills V","WR","ATL","@NO","4.9","4.0","4.9","3.0","3.9","4.9","11.3","9.7","Main"
"IND DST","DST","IND","@KC","4.9","4.9","5.6","4.9","4.9","4.9","11.6","11.6","Main"
"Elijah Higgins","TE","ARI","JAX","4.7","3.7","5.7","2.7","3.7","4.7","10.4","8.6","Main"
"Cole Kmet","TE","CHI","PIT","4.7","3.8","5.6","2.9","3.8","4.7","10.9","9.3","Main"
